CIE 1931 2 Degree Observer(D50) and sRGB(D65/Gamma encoded)

Wave Length	Tristimulus X	Tristimulus Y	Tristimulus Z	Normalized x	Normalized y	Normalized z	Relative X	Relative Y	Relative Z	Red	Green	Blue	Red-Integer	Green-Integer	Blue-Integer	
545	0.3597	0.9803	0.0134	0.26577508	0.72432392	0.00990099	0.36692849	1.0	0.01366928	0.0	1.0	0.0	0	255	0	
550	0.4334499	0.9949501	0.00875	0.3016038	0.69230776	0.00608844	0.43564989	1.0	0.00879441	0.0	1.0	0.0	0	255	0	
555	0.5120501	1.0	0.00575	0.33736333	0.65884829	0.00378838	0.5120501	1.0	0.00575	0.0	1.0	0.0	0	255	0	
560	0.5945	0.995	0.0039	0.37310154	0.62445086	0.0024476	0.59748744	1.0	0.0039196	0.54072503	1.0	0.0	138	255	0	
565	0.6784	0.9786	0.00275	0.40873626	0.58960687	0.00165688	0.69323523	1.0	0.00281014	0.77007483	1.0	0.0	196	255	0	
570	0.7621	0.952	0.0021	0.44406246	0.5547139	0.00122363	0.80052521	1.0	0.00220588	0.95043197	1.0	0.0	242	255	0	
575	0.8425	0.9154	0.0018	0.47877479	0.52020231	0.0010229	0.92036268	1.0	0.00196635	1.0	1.0	0.0	255	255	0	
580	0.9163	0.87	0.00165	0.51248637	0.48659079	9.2285E-4	1.05321839	1.0	0.00189655	1.0	0.94779572	0.0	255	242	0	
585	0.9786	0.8163	0.0014	0.54478651	0.45443411	7.7938E-4	1.19882396	1.0	0.00171506	1.0	0.87707681	0.0	255	224	0	
590	1.0263	0.757	0.0011	0.57515131	0.42423223	6.1645E-4	1.35574637	1.0	0.0014531	1.0	0.7913172	0.0	255	202	0	
595	1.0567	0.6949	0.001	0.60293279	0.39649663	5.7058E-4	1.52065045	1.0	0.00143906	1.0	0.68564353	0.0	255	175	0	
600	1.0622	0.631	8.0E-4	0.6270366	0.37249115	4.7226E-4	1.68335975	1.0	0.00126783	1.0	0.55503113	0.0	255	142	0	
605	1.0456	0.5668	6.0E-4	0.64823311	0.35139492	3.7198E-4	1.84474241	1.0	0.00105857	1.0	0.36651721	0.0	255	93	0	
610	1.0026	0.503	3.4E-4	0.66576358	0.33401065	2.2577E-4	1.99324056	1.0	6.7594E-4	1.0	0.0	0.0	255	0	0	
615	0.9384	0.4412	2.4E-4	0.68007885	0.31974722	1.7393E-4	2.12692656	1.0	5.4397E-4	1.0	0.0	0.0	255	0	0	
620	0.8544499	0.381	1.9E-4	0.69150397	0.30834226	1.5377E-4	2.24265066	1.0	4.9869E-4	1.0	0.0	0.0	255	0	0	
625	0.7514	0.321	1.0E-4	0.70060606	0.2993007	9.324E-5	2.34080997	1.0	3.1153E-4	1.0	0.0	0.0	255	0	0	
630	0.6424	0.265	5.0E-5	0.70791779	0.29202711	5.51E-5	2.42415094	1.0	1.8868E-4	1.0	0.0	0.0	255	0	0	
635	0.5419	0.217	3.0E-5	0.7140316	0.28592887	3.953E-5	2.49723502	1.0	1.3825E-4	1.0	0.0	0.0	255	0	0	
640	0.4479	0.175	2.0E-5	0.71903294	0.28093495	3.211E-5	2.55942857	1.0	1.1429E-4	1.0	0.0	0.0	255	0	0	
645	0.3608	0.1382	1.0E-5	0.7230316	0.27694836	2.004E-5	2.61070912	1.0	7.236E-5	1.0	0.0	0.0	255	0	0	
650	0.2835	0.107	0.0	0.72599232	0.27400768	0.0	2.64953271	1.0	0.0	1.0	0.0	0.0	255	0	0	
655	0.2187	0.0816	0.0	0.72827173	0.27172827	0.0	2.68014706	1.0	0.0	1.0	0.0	0.0	255	0	0	
660	0.1649	0.061	0.0	0.72996901	0.27003099	0.0	2.70327869	1.0	0.0	1.0	0.0	0.0	255	0	0	
665	0.1212	0.04458	0.0	0.7310894	0.2689106	0.0	2.71870794	1.0	0.0	1.0	0.0	0.0	255	0	0	
670	0.0874	0.032	0.0	0.7319933	0.2680067	0.0	2.73125	1.0	0.0	1.0	0.0	0.0	255	0	0	
675	0.0636	0.0232	0.0	0.73271889	0.26728111	0.0	2.74137931	1.0	0.0	1.0	0.0	0.0	255	0	0	
680	0.04677	0.017	0.0	0.73341697	0.26658303	0.0	2.75117647	1.0	0.0	1.0	0.0	0.0	255	0	0	
685	0.0329	0.01192	0.0	0.7340473	0.2659527	0.0	2.76006711	1.0	0.0	1.0	0.0	0.0	255	0	0	
690	0.0227	0.00821	0.0	0.73439016	0.26560984	0.0	2.76492083	1.0	0.0	1.0	0.0	0.0	255	0	0	
695	0.01584	0.005723	0.0	0.73459166	0.26540834	0.0	2.76777914	1.0	0.0	1.0	0.0	0.0	255	0	0	
700	0.01135916	0.004102	0.0	0.73469002	0.26530998	0.0	2.76917601	1.0	0.0	1.0	0.0	0.0	255	0	0	
705	0.00811092	0.002929	0.0	0.73469001	0.26530999	0.0	2.76917583	1.0	0.0	1.0	0.0	0.0	255	0	0	
710	0.00579035	0.002091	0.0	0.73468999	0.26531001	0.0	2.76917551	1.0	0.0	1.0	0.0	0.0	255	0	0	
715	0.00410646	0.001484	0.0	0.73454764	0.26545236	0.0	2.76715431	1.0	0.0	1.0	0.0	0.0	255	0	0	
720	0.00289933	0.001047	0.0	0.73469	0.26531	0.0	2.76917574	1.0	0.0	1.0	0.0	0.0	255	0	0	
