色彩空间	光源	适应算法	基色	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	刺激值X	刺激值Y	刺激值Z
Adobe RGB (1998)	D75 - CIE1931	Bradford	红色	0.63584196	0.32923019	0.03492785	1.93129908	1.0	0.10608946	0.56311616	0.29157378	0.0309329	
Adobe RGB (1998)	D75 - CIE1931	Bradford	绿色	0.20206726	0.71203988	0.08589286	0.28378643	1.0	0.12062929	0.17788469	0.6268259	0.07561356	
Adobe RGB (1998)	D75 - CIE1931	Bradford	蓝色	0.14802743	0.05786139	0.79411118	2.55831121	1.0	13.72437173	0.20876206	0.08160151	1.11992946	
Adobe RGB (1998)	D75 - CIE1964	Bradford	红色	0.63599147	0.32959977	0.03440876	1.92958715	1.0	0.10439558	0.56190531	0.29120494	0.03040051	
Adobe RGB (1998)	D75 - CIE1964	Bradford	绿色	0.20084423	0.71385413	0.08530164	0.28135193	1.0	0.1194945	0.17672763	0.62813726	0.07505895	
Adobe RGB (1998)	D75 - CIE1964	Bradford	蓝色	0.14818784	0.05814145	0.79367071	2.54874704	1.0	13.65068718	0.20557901	0.08065885	1.10104876	
Adobe RGB (1998)	D75 - CIE1931	XYZScaling	红色	0.63741297	0.32891054	0.03367649	1.93795238	1.0	0.10238799	0.57627146	0.297361	0.0304462	
Adobe RGB (1998)	D75 - CIE1931	XYZScaling	绿色	0.20777749	0.70300834	0.08921417	0.2955548	1.0	0.12690342	0.18541778	0.627355	0.0796135	
Adobe RGB (1998)	D75 - CIE1931	XYZScaling	蓝色	0.13630687	0.0545633	0.80912983	2.49814174	1.0	14.82919386	0.1880726	0.075285	1.11641586	
Adobe RGB (1998)	D75 - CIE1964	XYZScaling	红色	0.63640737	0.33032223	0.03327041	1.92662593	1.0	0.10072106	0.57290341	0.297361	0.02995052	
Adobe RGB (1998)	D75 - CIE1964	XYZScaling	绿色	0.20711546	0.70488815	0.08799639	0.29382741	1.0	0.12483737	0.1843341	0.627355	0.07831735	
Adobe RGB (1998)	D75 - CIE1964	XYZScaling	蓝色	0.13743007	0.05533634	0.80723359	2.48354123	1.0	14.58776717	0.1869734	0.075285	1.09824005	
Adobe RGB (1998)	D75 - CIE1931	VonKries	红色	0.63410015	0.3318208	0.03407905	1.91097171	1.0	0.10270318	0.5665045	0.2964484	0.03044619	
Adobe RGB (1998)	D75 - CIE1931	VonKries	绿色	0.1950252	0.71441943	0.09055537	0.27298418	1.0	0.12675379	0.17146016	0.6280956	0.0796135	
Adobe RGB (1998)	D75 - CIE1931	VonKries	蓝色	0.1508892	0.05375681	0.79535399	2.80688533	1.0	14.79540937	0.21179889	0.07545691	1.11641584	
Adobe RGB (1998)	D75 - CIE1964	VonKries	红色	0.6342078	0.33222193	0.03357027	1.90898836	1.0	0.10104774	0.5658235	0.29639966	0.02995052	
Adobe RGB (1998)	D75 - CIE1964	VonKries	绿色	0.1942856	0.71639285	0.08932154	0.27119981	1.0	0.12468235	0.1703501	0.62813503	0.07831735	
Adobe RGB (1998)	D75 - CIE1964	VonKries	蓝色	0.15056247	0.05461659	0.79482094	2.75671666	1.0	14.55273744	0.20803898	0.07546622	1.09824003	
Adobe RGB (1998)	E - CIE1931	Bradford	红色	0.64611416	0.32836655	0.02551929	1.96766135	1.0	0.07771586	0.61313776	0.31160736	0.02421683	
Adobe RGB (1998)	E - CIE1931	Bradford	绿色	0.23535033	0.69064726	0.0740024	0.34076778	1.0	0.10714935	0.21024408	0.61697172	0.06610812	
Adobe RGB (1998)	E - CIE1931	Bradford	蓝色	0.15257403	0.06168556	0.78574041	2.47341566	1.0	12.73783412	0.17665827	0.0714228	0.90977177	
Adobe RGB (1998)	E - CIE1964	Bradford	红色	0.64611416	0.32836655	0.02551929	1.96766135	1.0	0.07771586	0.61313776	0.31160736	0.02421683	
Adobe RGB (1998)	E - CIE1964	Bradford	绿色	0.23535033	0.69064726	0.0740024	0.34076778	1.0	0.10714935	0.21024408	0.61697172	0.06610812	
Adobe RGB (1998)	E - CIE1964	Bradford	蓝色	0.15257403	0.06168556	0.78574041	2.47341566	1.0	12.73783412	0.17665827	0.0714228	0.90977177	
Adobe RGB (1998)	E - CIE1931	XYZScaling	红色	0.65317639	0.32009871	0.0267249	2.04054681	1.0	0.08348956	0.60677904	0.297361	0.02482654	
Adobe RGB (1998)	E - CIE1931	XYZScaling	绿色	0.21997982	0.70687295	0.07314723	0.31120135	1.0	0.10348002	0.19523372	0.627355	0.06491871	
Adobe RGB (1998)	E - CIE1931	XYZScaling	蓝色	0.16730153	0.06360326	0.76909521	2.63039238	1.0	12.09207199	0.19802909	0.075285	0.91035164	
Adobe RGB (1998)	E - CIE1964	XYZScaling	红色	0.65317639	0.32009871	0.0267249	2.04054681	1.0	0.08348956	0.60677904	0.297361	0.02482654	
Adobe RGB (1998)	E - CIE1964	XYZScaling	绿色	0.21997982	0.70687295	0.07314723	0.31120135	1.0	0.10348002	0.19523372	0.627355	0.06491871	
Adobe RGB (1998)	E - CIE1964	XYZScaling	蓝色	0.16730153	0.06360326	0.76909521	2.63039238	1.0	12.09207199	0.19802909	0.075285	0.91035164	
Adobe RGB (1998)	E - CIE1931	VonKries	红色	0.64988715	0.32331454	0.02679831	2.01007708	1.0	0.08288619	0.60206964	0.29952565	0.02482654	
Adobe RGB (1998)	E - CIE1931	VonKries	绿色	0.24336064	0.6855043	0.07113506	0.35500964	1.0	0.10377041	0.22209382	0.62559941	0.06491871	
Adobe RGB (1998)	E - CIE1931	VonKries	蓝色	0.15147283	0.06448699	0.78404018	2.34888965	1.0	12.15811343	0.1758756	0.07487606	0.91035162	
Adobe RGB (1998)	E - CIE1964	VonKries	红色	0.64988715	0.32331454	0.02679831	2.01007708	1.0	0.08288619	0.60206964	0.29952565	0.02482654	
Adobe RGB (1998)	E - CIE1964	VonKries	绿色	0.24336064	0.6855043	0.07113506	0.35500964	1.0	0.10377041	0.22209382	0.62559941	0.06491871	
Adobe RGB (1998)	E - CIE1964	VonKries	蓝色	0.15147283	0.06448699	0.78404018	2.34888965	1.0	12.15811343	0.1758756	0.07487606	0.91035162	
Adobe RGB (1998)	F1 - CIE1931	Bradford	红色	0.63982195	0.33130992	0.02886813	1.93118862	1.0	0.0871333	0.56927086	0.29477745	0.02568493	
Adobe RGB (1998)	F1 - CIE1931	Bradford	绿色	0.20364492	0.71755648	0.0787986	0.28380334	1.0	0.10981519	0.17948832	0.63243908	0.06945142	
Adobe RGB (1998)	F1 - CIE1931	Bradford	蓝色	0.15043476	0.06095914	0.7886061	2.46779669	1.0	12.93663469	0.17961609	0.07278399	0.9415799	
Adobe RGB (1998)	F1 - CIE1964	Bradford	红色	0.64146969	0.3304379	0.02809241	1.94127155	1.0	0.08501571	0.58074858	0.29915886	0.0254332	
Adobe RGB (1998)	F1 - CIE1964	Bradford	绿色	0.21209991	0.71020134	0.07769875	0.29864757	1.0	0.10940383	0.18760673	0.62818769	0.06872614	
Adobe RGB (1998)	F1 - CIE1964	Bradford	蓝色	0.1509121	0.06105027	0.78803763	2.4719318	1.0	12.90801274	0.17959662	0.07265436	0.93782339	
Adobe RGB (1998)	F1 - CIE1931	XYZScaling	红色	0.63549228	0.33547361	0.02903411	1.89431378	1.0	0.08654663	0.56329504	0.297361	0.02573559	
Adobe RGB (1998)	F1 - CIE1931	XYZScaling	绿色	0.2069231	0.71624588	0.07683102	0.28889953	1.0	0.10726906	0.18124256	0.627355	0.06729578	
Adobe RGB (1998)	F1 - CIE1931	XYZScaling	蓝色	0.15284039	0.06259105	0.78456857	2.44188885	1.0	12.53483648	0.1838376	0.075285	0.94368516	
Adobe RGB (1998)	F1 - CIE1964	XYZScaling	红色	0.6403962	0.33108071	0.02852309	1.9342601	1.0	0.08615146	0.57517352	0.297361	0.02561808	
Adobe RGB (1998)	F1 - CIE1964	XYZScaling	绿色	0.21044215	0.7133833	0.07617455	0.29499169	1.0	0.10677928	0.18506451	0.627355	0.06698851	
Adobe RGB (1998)	F1 - CIE1964	XYZScaling	蓝色	0.15611949	0.06261354	0.78126696	2.49338216	1.0	12.47760335	0.18771428	0.075285	0.93937637	
Adobe RGB (1998)	F1 - CIE1931	VonKries	红色	0.63931167	0.33192549	0.02876283	1.9260698	1.0	0.08665449	0.57202511	0.29699085	0.02573559	
Adobe RGB (1998)	F1 - CIE1931	VonKries	绿色	0.20429419	0.71865337	0.07705244	0.28427361	1.0	0.1072178	0.17842572	0.62765489	0.06729578	
Adobe RGB (1998)	F1 - CIE1931	VonKries	蓝色	0.14864641	0.06295524	0.78839836	2.36114446	1.0	12.52315779	0.17792453	0.07535521	0.94368514	
Adobe RGB (1998)	F1 - CIE1964	VonKries	红色	0.64205472	0.32957905	0.02836623	1.94810536	1.0	0.08606805	0.57985195	0.29764917	0.02561808	
Adobe RGB (1998)	F1 - CIE1964	VonKries	绿色	0.21475396	0.70946195	0.07578409	0.30269976	1.0	0.1068191	0.1898294	0.62712108	0.06698851	
Adobe RGB (1998)	F1 - CIE1964	VonKries	蓝色	0.14944567	0.06306661	0.78748771	2.36964795	1.0	12.48660192	0.17827038	0.07523074	0.93937635	
Adobe RGB (1998)	F2 - CIE1931	Bradford	红色	0.65415723	0.33049653	0.01534623	1.97931647	1.0	0.04643387	0.63966936	0.3231769	0.01500636	
Adobe RGB (1998)	F2 - CIE1931	Bradford	绿色	0.24943222	0.68977024	0.06079754	0.36161638	1.0	0.08814172	0.22437003	0.62046424	0.05468878	
Adobe RGB (1998)	F2 - CIE1931	Bradford	蓝色	0.16187294	0.07158547	0.7665416	2.26125426	1.0	10.70806192	0.12744466	0.05636016	0.6035081	
Adobe RGB (1998)	F2 - CIE1964	Bradford	红色	0.65613476	0.32874662	0.01511862	1.99586769	1.0	0.04598867	0.66115413	0.3312615	0.01523428	
Adobe RGB (1998)	F2 - CIE1964	Bradford	绿色	0.26498643	0.67524421	0.05976936	0.39243052	1.0	0.08851518	0.2399426	0.61142695	0.05412056	
Adobe RGB (1998)	F2 - CIE1964	Bradford	蓝色	0.16235406	0.0708194	0.76682655	2.29250831	1.0	10.82791703	0.13139206	0.05731367	0.62058764	
Adobe RGB (1998)	F2 - CIE1931	XYZScaling	红色	0.65699919	0.32474983	0.01825097	2.02309323	1.0	0.0562001	0.60158903	0.297361	0.01671172	
Adobe RGB (1998)	F2 - CIE1931	XYZScaling	绿色	0.22387202	0.72558621	0.05054177	0.30853953	1.0	0.06965646	0.19356381	0.627355	0.04369933	
Adobe RGB (1998)	F2 - CIE1931	XYZScaling	蓝色	0.22199484	0.08512419	0.69288097	2.60789362	1.0	8.13964801	0.19633527	0.075285	0.6127934	
Adobe RGB (1998)	F2 - CIE1964	XYZScaling	红色	0.66577848	0.31601958	0.01820194	2.10676334	1.0	0.0575975	0.62646925	0.297361	0.01712725	
Adobe RGB (1998)	F2 - CIE1964	XYZScaling	绿色	0.23070484	0.7180357	0.05125946	0.32129996	1.0	0.07138845	0.20156913	0.627355	0.0447859	
Adobe RGB (1998)	F2 - CIE1964	XYZScaling	蓝色	0.22522785	0.08293395	0.6918382	2.71574962	1.0	8.34203837	0.20445521	0.075285	0.62803036	
Adobe RGB (1998)	F2 - CIE1931	VonKries	红色	0.661789	0.32044155	0.01776945	2.06524094	1.0	0.05545303	0.62239568	0.3013671	0.01671172	
Adobe RGB (1998)	F2 - CIE1931	VonKries	绿色	0.2723018	0.68007956	0.04761864	0.40039697	1.0	0.07001922	0.24988967	0.6241048	0.04369933	
Adobe RGB (1998)	F2 - CIE1931	VonKries	蓝色	0.14779107	0.09240867	0.75980026	1.59932028	1.0	8.22217476	0.11919631	0.07452936	0.61279339	
Adobe RGB (1998)	F2 - CIE1964	VonKries	红色	0.66578296	0.31631211	0.01790493	2.10482915	1.0	0.05660526	0.6368655	0.30257349	0.01712725	
Adobe RGB (1998)	F2 - CIE1964	VonKries	绿色	0.28872233	0.66358399	0.04769368	0.43509538	1.0	0.07187287	0.27111955	0.62312669	0.0447859	
Adobe RGB (1998)	F2 - CIE1964	VonKries	蓝色	0.15057571	0.08986242	0.75956187	1.67562492	1.0	8.45249746	0.12450087	0.07430116	0.62803035	
Adobe RGB (1998)	F3 - CIE1931	Bradford	红色	0.66098859	0.3295344	0.00947701	2.0058258	1.0	0.02875879	0.68236298	0.34019055	0.00978347	
Adobe RGB (1998)	F3 - CIE1931	Bradford	绿色	0.27700451	0.67122004	0.05177545	0.41268809	1.0	0.07713632	0.25226279	0.61126745	0.04715092	
Adobe RGB (1998)	F3 - CIE1931	Bradford	蓝色	0.1735459	0.08183511	0.74461899	2.12067771	1.0	9.09901602	0.10294614	0.04854398	0.44170248	
Adobe RGB (1998)	F3 - CIE1964	Bradford	红色	0.66312007	0.32747434	0.00940559	2.02495278	1.0	0.02872162	0.70971029	0.35048239	0.01006642	
Adobe RGB (1998)	F3 - CIE1964	Bradford	绿色	0.29629536	0.65315383	0.05055081	0.45363794	1.0	0.07739495	0.27208079	0.59977521	0.04641957	
Adobe RGB (1998)	F3 - CIE1964	Bradford	蓝色	0.17383626	0.080122	0.74604174	2.16964445	1.0	9.31132147	0.10792989	0.04974543	0.46319565	
Adobe RGB (1998)	F3 - CIE1931	XYZScaling	红色	0.67024236	0.31657937	0.01317827	2.11713848	1.0	0.04162708	0.62955441	0.297361	0.01237827	
Adobe RGB (1998)	F3 - CIE1931	XYZScaling	绿色	0.23491292	0.72754979	0.03753729	0.32288225	1.0	0.05159412	0.2025618	0.627355	0.03236783	
Adobe RGB (1998)	F3 - CIE1931	XYZScaling	蓝色	0.27967744	0.10247884	0.61784372	2.72912382	1.0	6.02898817	0.20546209	0.075285	0.45389237	
Adobe RGB (1998)	F3 - CIE1964	XYZScaling	红色	0.68062275	0.30609754	0.01327971	2.22354857	1.0	0.04338391	0.66119663	0.297361	0.01290068	
Adobe RGB (1998)	F3 - CIE1964	XYZScaling	绿色	0.24345971	0.71793573	0.03860455	0.33911073	1.0	0.0537716	0.21274281	0.627355	0.03373388	
Adobe RGB (1998)	F3 - CIE1964	XYZScaling	蓝色	0.28240095	0.0985248	0.61907425	2.86629308	1.0	6.28343569	0.21578887	0.075285	0.47304846	
Adobe RGB (1998)	F3 - CIE1931	VonKries	红色	0.67351686	0.3137085	0.01277464	2.14695124	1.0	0.04072138	0.65261881	0.30397467	0.01237827	
Adobe RGB (1998)	F3 - CIE1931	VonKries	绿色	0.30929662	0.6565377	0.03416568	0.47110261	1.0	0.05203918	0.29302096	0.62198968	0.03236783	
Adobe RGB (1998)	F3 - CIE1931	VonKries	蓝色	0.14830555	0.11944204	0.73225241	1.24165278	1.0	6.13060852	0.09192835	0.07403708	0.45389236	
Adobe RGB (1998)	F3 - CIE1964	VonKries	红色	0.67819377	0.308768	0.01303823	2.19645097	1.0	0.04222664	0.67103886	0.30551051	0.01290068	
Adobe RGB (1998)	F3 - CIE1964	VonKries	绿色	0.32841185	0.63697237	0.03461578	0.51558257	1.0	0.05434423	0.32004503	0.62074446	0.03373388	
Adobe RGB (1998)	F3 - CIE1964	VonKries	蓝色	0.15281756	0.11426	0.73292245	1.33745457	1.0	6.41451486	0.09863268	0.07374657	0.47304845	
Adobe RGB (1998)	F4 - CIE1931	Bradford	红色	0.66610187	0.32806971	0.00582842	2.03036684	1.0	0.0177658	0.7233311	0.35625636	0.00632918	
Adobe RGB (1998)	F4 - CIE1931	Bradford	绿色	0.30368041	0.6510969	0.04522269	0.46641354	1.0	0.06945617	0.27986586	0.60003803	0.04167634	
Adobe RGB (1998)	F4 - CIE1931	Bradford	蓝色	0.18703529	0.09256888	0.72039582	2.02049857	1.0	7.78226772	0.08831297	0.0437085	0.34015127	
Adobe RGB (1998)	F4 - CIE1964	Bradford	红色	0.66820525	0.32595549	0.00583926	2.04998925	1.0	0.0179143	0.75400939	0.36781139	0.00658908	
Adobe RGB (1998)	F4 - CIE1964	Bradford	绿色	0.32477069	0.63137242	0.04385689	0.51438847	1.0	0.06946279	0.3020668	0.58723479	0.04079097	
Adobe RGB (1998)	F4 - CIE1964	Bradford	蓝色	0.18684831	0.08976985	0.72338185	2.08141499	1.0	8.05818283	0.09357601	0.04495788	0.36227883	
Adobe RGB (1998)	F4 - CIE1931	XYZScaling	红色	0.68327327	0.30678563	0.0099411	2.22720101	1.0	0.03240405	0.66228272	0.297361	0.0096357	
Adobe RGB (1998)	F4 - CIE1931	XYZScaling	绿色	0.24616629	0.72472668	0.02910703	0.33966776	1.0	0.04016277	0.21309227	0.627355	0.02519631	
Adobe RGB (1998)	F4 - CIE1931	XYZScaling	蓝色	0.33523334	0.1167653	0.54800136	2.8710013	1.0	4.69318666	0.21614333	0.075285	0.35332656	
Adobe RGB (1998)	F4 - CIE1964	XYZScaling	红色	0.69402751	0.29585455	0.01011795	2.34584027	1.0	0.03419906	0.69756141	0.297361	0.01016947	
Adobe RGB (1998)	F4 - CIE1964	XYZScaling	绿色	0.25551661	0.71420978	0.03027361	0.35776129	1.0	0.04238756	0.22444334	0.627355	0.02659205	
Adobe RGB (1998)	F4 - CIE1964	XYZScaling	蓝色	0.33684992	0.11139457	0.5517555	3.02393473	1.0	4.95316318	0.22765693	0.075285	0.37289889	
Adobe RGB (1998)	F4 - CIE1931	VonKries	红色	0.68308062	0.30725732	0.00966206	2.22315493	1.0	0.03144614	0.68121725	0.30641915	0.0096357	
Adobe RGB (1998)	F4 - CIE1931	VonKries	绿色	0.34119449	0.63307801	0.0257275	0.53894541	1.0	0.04063875	0.33414998	0.6200071	0.02519631	
Adobe RGB (1998)	F4 - CIE1931	VonKries	蓝色	0.15135525	0.14626156	0.70238319	1.03482594	1.0	4.80224063	0.07613768	0.07357535	0.35332655	
Adobe RGB (1998)	F4 - CIE1964	VonKries	红色	0.68799186	0.30204012	0.00996802	2.2778161	1.0	0.03300229	0.70189579	0.30814419	0.01016947	
Adobe RGB (1998)	F4 - CIE1964	VonKries	绿色	0.36098244	0.61268035	0.02633722	0.5891856	1.0	0.04298688	0.3644752	0.61860848	0.02659205	
Adobe RGB (1998)	F4 - CIE1964	VonKries	蓝色	0.15729469	0.13835628	0.70434903	1.13688141	1.0	5.09083514	0.08327549	0.07324906	0.37289888	
Adobe RGB (1998)	F5 - CIE1931	Bradford	红色	0.63975082	0.3325182	0.02773097	1.9239573	1.0	0.08339686	0.56296377	0.29260721	0.02440252	
Adobe RGB (1998)	F5 - CIE1931	Bradford	绿色	0.19814398	0.72425793	0.07759809	0.27358206	1.0	0.10714152	0.17426314	0.63696845	0.06824577	
Adobe RGB (1998)	F5 - CIE1931	Bradford	蓝色	0.15091564	0.06196053	0.78712383	2.43567392	1.0	12.70363335	0.17153094	0.07042443	0.89464611	
Adobe RGB (1998)	F5 - CIE1964	Bradford	红色	0.64171577	0.33134376	0.02694046	1.93670696	1.0	0.08130669	0.57710559	0.29798292	0.024228	
Adobe RGB (1998)	F5 - CIE1964	Bradford	绿色	0.20867802	0.71490363	0.07641835	0.29189671	1.0	0.10689322	0.18433887	0.63152087	0.0675053	
Adobe RGB (1998)	F5 - CIE1964	Bradford	蓝色	0.15145853	0.0619767	0.78656477	2.44379785	1.0	12.69129762	0.17227988	0.07049678	0.89469562	
Adobe RGB (1998)	F5 - CIE1931	XYZScaling	红色	0.63141667	0.34051758	0.02806574	1.85428509	1.0	0.08242084	0.55139207	0.297361	0.02450874	
Adobe RGB (1998)	F5 - CIE1931	XYZScaling	绿色	0.20419131	0.72204762	0.07376107	0.2827948	1.0	0.1021554	0.17741273	0.627355	0.0640877	
Adobe RGB (1998)	F5 - CIE1931	XYZScaling	蓝色	0.15594701	0.0652419	0.77881109	2.39028937	1.0	11.9372844	0.17995294	0.075285	0.89869846	
Adobe RGB (1998)	F5 - CIE1964	XYZScaling	红色	0.63771704	0.3347193	0.02756366	1.90522935	1.0	0.08234858	0.56654091	0.297361	0.02448726	
Adobe RGB (1998)	F5 - CIE1964	XYZScaling	绿色	0.20864424	0.71806577	0.07328999	0.29056425	1.0	0.10206584	0.18228693	0.627355	0.06403152	
Adobe RGB (1998)	F5 - CIE1964	XYZScaling	蓝色	0.15965644	0.06500776	0.7753358	2.45595971	1.0	11.92681908	0.18489693	0.075285	0.89791057	
Adobe RGB (1998)	F5 - CIE1931	VonKries	红色	0.63882063	0.33361924	0.02756013	1.91481955	1.0	0.08260954	0.568092	0.29668174	0.02450874	
Adobe RGB (1998)	F5 - CIE1931	VonKries	绿色	0.19944229	0.72641548	0.07414223	0.27455678	1.0	0.10206587	0.17239566	0.6279053	0.0640877	
Adobe RGB (1998)	F5 - CIE1931	VonKries	蓝色	0.14729769	0.06601456	0.78668775	2.23129105	1.0	11.91688277	0.16827033	0.07541389	0.89869844	
Adobe RGB (1998)	F5 - CIE1964	VonKries	红色	0.64212087	0.33066126	0.02721787	1.94192953	1.0	0.08231347	0.57770042	0.29748784	0.02448726	
Adobe RGB (1998)	F5 - CIE1964	VonKries	绿色	0.21239858	0.71464824	0.07295319	0.29720716	1.0	0.10208265	0.18642369	0.62725168	0.06403152	
Adobe RGB (1998)	F5 - CIE1964	VonKries	蓝色	0.14841107	0.06585868	0.78573025	2.25347761	1.0	11.9305491	0.16960002	0.07526146	0.89791056	
Adobe RGB (1998)	F6 - CIE1931	Bradford	红色	0.65487254	0.33164468	0.01348278	1.97462094	1.0	0.04065429	0.63616665	0.32217153	0.01309766	
Adobe RGB (1998)	F6 - CIE1931	Bradford	绿色	0.24581976	0.69555054	0.0586297	0.35341754	1.0	0.08429251	0.22082472	0.6248267	0.05266821	
Adobe RGB (1998)	F6 - CIE1931	Bradford	蓝色	0.16465838	0.07514718	0.76019444	2.19114515	1.0	10.11607424	0.11613643	0.05300262	0.5361784	
Adobe RGB (1998)	F6 - CIE1964	Bradford	红色	0.65720623	0.32954207	0.0132517	1.99430145	1.0	0.04021247	0.66161002	0.33175026	0.0133405	
Adobe RGB (1998)	F6 - CIE1964	Bradford	绿色	0.26425506	0.67834963	0.05739531	0.38955585	1.0	0.08461021	0.23925199	0.61416608	0.05196472	
Adobe RGB (1998)	F6 - CIE1964	Bradford	蓝色	0.16523505	0.07406804	0.7606969	2.23085484	1.0	10.2702442	0.12065687	0.05408549	0.55547115	
Adobe RGB (1998)	F6 - CIE1931	XYZScaling	红色	0.65405484	0.32939274	0.01655242	1.98563832	1.0	0.05025132	0.5904514	0.297361	0.01494278	
Adobe RGB (1998)	F6 - CIE1931	XYZScaling	绿色	0.22183354	0.73254135	0.04562511	0.30282732	1.0	0.06228333	0.18998024	0.627355	0.03907376	
Adobe RGB (1998)	F6 - CIE1931	XYZScaling	蓝色	0.23617715	0.09227069	0.67155217	2.55961189	1.0	7.27806626	0.19270038	0.075285	0.54792922	
Adobe RGB (1998)	F6 - CIE1964	XYZScaling	红色	0.6646189	0.31885684	0.01652426	2.08438026	1.0	0.05182343	0.6198134	0.297361	0.01541027	
Adobe RGB (1998)	F6 - CIE1964	XYZScaling	绿色	0.22999939	0.72352712	0.04647349	0.31788634	1.0	0.06423186	0.19942758	0.627355	0.04029618	
Adobe RGB (1998)	F6 - CIE1964	XYZScaling	蓝色	0.24005885	0.08934429	0.67059686	2.68689643	1.0	7.50576069	0.202283	0.075285	0.56507119	
Adobe RGB (1998)	F6 - CIE1931	VonKries	红色	0.6624519	0.32159558	0.01595252	2.05989115	1.0	0.04960428	0.62052113	0.30123977	0.01494278	
Adobe RGB (1998)	F6 - CIE1931	VonKries	绿色	0.27113635	0.68592647	0.04293719	0.39528486	1.0	0.06259736	0.24673986	0.62420772	0.03907376	
Adobe RGB (1998)	F6 - CIE1931	VonKries	蓝色	0.14534872	0.10236018	0.7522911	1.41997327	1.0	7.34945075	0.10586435	0.07455376	0.54792921	
Adobe RGB (1998)	F6 - CIE1964	VonKries	红色	0.66719144	0.31668471	0.01612385	2.10680027	1.0	0.05091452	0.63766404	0.30266943	0.01541027	
Adobe RGB (1998)	F6 - CIE1964	VonKries	绿色	0.29071532	0.66619779	0.04308689	0.43637989	1.0	0.06467582	0.27188587	0.62304858	0.04029618	
Adobe RGB (1998)	F6 - CIE1964	VonKries	蓝色	0.14902553	0.09887037	0.75210409	1.50728198	1.0	7.60697124	0.11196593	0.07428333	0.56507118	
Adobe RGB (1998)	F7 - CIE1931	Bradford	红色	0.64005649	0.33002651	0.029917	1.93940929	1.0	0.09065029	0.57680513	0.29741279	0.02696056	
Adobe RGB (1998)	F7 - CIE1931	Bradford	绿色	0.21003668	0.71006205	0.07990127	0.29580045	1.0	0.11252716	0.18559233	0.6274241	0.07060225	
Adobe RGB (1998)	F7 - CIE1931	Bradford	蓝色	0.15003693	0.0600456	0.78991748	2.49871648	1.0	13.1552936	0.18781385	0.07516413	0.98880621	
Adobe RGB (1998)	F7 - CIE1964	Bradford	红色	0.64093535	0.32974349	0.02932116	1.9437392	1.0	0.08892112	0.58206924	0.29945851	0.02662819	
Adobe RGB (1998)	F7 - CIE1964	Bradford	绿色	0.21377633	0.70710267	0.079121	0.30232714	1.0	0.11189464	0.18919908	0.62580911	0.07002468	
Adobe RGB (1998)	F7 - CIE1964	Bradford	蓝色	0.15034905	0.06022505	0.7894259	2.49645394	1.0	13.10793352	0.18656885	0.07473354	0.9796023	
Adobe RGB (1998)	F7 - CIE1931	XYZScaling	红色	0.63998361	0.3300808	0.02993559	1.93886955	1.0	0.09069169	0.57654419	0.297361	0.02696817	
Adobe RGB (1998)	F7 - CIE1931	XYZScaling	绿色	0.20999532	0.71017619	0.0798285	0.29569467	1.0	0.11240661	0.18550553	0.627355	0.07051885	
Adobe RGB (1998)	F7 - CIE1931	XYZScaling	蓝色	0.15024938	0.06011601	0.78963461	2.49932403	1.0	13.13518045	0.18816161	0.075285	0.98888206	
Adobe RGB (1998)	F7 - CIE1964	XYZScaling	红色	0.64200132	0.32848515	0.02951353	1.95443029	1.0	0.08984738	0.58117135	0.297361	0.02671711	
Adobe RGB (1998)	F7 - CIE1964	XYZScaling	绿色	0.21148142	0.70950771	0.07901087	0.29806782	1.0	0.11136013	0.18699434	0.627355	0.06986233	
Adobe RGB (1998)	F7 - CIE1964	XYZScaling	蓝色	0.15239175	0.06048773	0.78712051	2.5193828	1.0	13.01289497	0.18967173	0.075285	0.9796758	
Adobe RGB (1998)	F7 - CIE1931	VonKries	红色	0.64007565	0.32999721	0.02992714	1.93963955	1.0	0.09068907	0.57678985	0.29736961	0.02696817	
Adobe RGB (1998)	F7 - CIE1931	VonKries	绿色	0.21014555	0.71004034	0.07981411	0.29596284	1.0	0.11240786	0.1856717	0.62734801	0.07051885	
Adobe RGB (1998)	F7 - CIE1931	VonKries	蓝色	0.14997005	0.06013455	0.7898954	2.49390823	1.0	13.13546669	0.18774979	0.07528336	0.98888204	
Adobe RGB (1998)	F7 - CIE1964	VonKries	红色	0.64148422	0.32898865	0.02952713	1.94986735	1.0	0.08975122	0.58043568	0.29767957	0.02671711	
Adobe RGB (1998)	F7 - CIE1964	VonKries	绿色	0.21504516	0.7062719	0.07868293	0.30447928	1.0	0.11140601	0.19093793	0.62709663	0.06986233	
Adobe RGB (1998)	F7 - CIE1964	VonKries	蓝色	0.15020849	0.0605985	0.78919301	2.47874952	1.0	13.02331001	0.18646342	0.07522479	0.97967578	
Adobe RGB (1998)	F8 - CIE1931	Bradford	红色	0.64847639	0.33086873	0.02065488	1.95992046	1.0	0.06242622	0.60988224	0.31117704	0.01942561	
Adobe RGB (1998)	F8 - CIE1931	Bradford	绿色	0.23022941	0.70157032	0.06820027	0.32816298	1.0	0.09721088	0.20532633	0.62568401	0.06082329	
Adobe RGB (1998)	F8 - CIE1931	Bradford	蓝色	0.15593597	0.06609909	0.77796494	2.3591243	1.0	11.76967719	0.14895489	0.06313991	0.74313635	
