色彩空间	光源	适应算法	基色	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	刺激值X	刺激值Y	刺激值Z
CIE RGB	F6 - CIE1964	VonKries	蓝色	0.16739604	0.01430959	0.81829437	11.69817127	1.0	57.18503091	0.12568405	0.01074391	0.61439058	
CIE RGB	F7 - CIE1931	Bradford	红色	0.73847235	0.26037371	0.00115394	2.83620172	1.0	0.00443187	0.46122155	0.16261944	7.2071E-4	
CIE RGB	F7 - CIE1931	Bradford	绿色	0.24778382	0.74360586	0.00861032	0.3332193	1.0	0.01157914	0.27482565	0.82475911	0.00955	
CIE RGB	F7 - CIE1931	Bradford	蓝色	0.16436369	0.00968815	0.82594816	16.96543848	1.0	85.2534579	0.21412521	0.01262126	1.07600604	
CIE RGB	F7 - CIE1964	Bradford	红色	0.73791325	0.26108178	0.00100497	2.82636827	1.0	0.00384926	0.4651957	0.16459132	6.3355E-4	
CIE RGB	F7 - CIE1964	Bradford	绿色	0.25171522	0.73969548	0.0085893	0.34029574	1.0	0.01161194	0.28003411	0.82291394	0.00955563	
CIE RGB	F7 - CIE1964	Bradford	蓝色	0.1646493	0.00967793	0.82567277	17.01286291	1.0	85.31501619	0.21256843	0.01249457	1.06597458	
CIE RGB	F7 - CIE1931	XYZScaling	红色	0.72492571	0.27507429	0.0	2.6353815	1.0	0.0	0.46436476	0.176204	0.0	
CIE RGB	F7 - CIE1931	XYZScaling	绿色	0.26374313	0.72635297	0.0099039	0.36310601	1.0	0.01363511	0.29519974	0.812985	0.01108514	
CIE RGB	F7 - CIE1931	XYZScaling	蓝色	0.14930807	0.00846852	0.84222342	17.63096118	1.0	99.4534886	0.19060832	0.010811	1.07519167	
CIE RGB	F7 - CIE1964	XYZScaling	红色	0.72651684	0.27348316	0.0	2.65653222	1.0	0.0	0.4680916	0.176204	0.0	
CIE RGB	F7 - CIE1964	XYZScaling	绿色	0.26532269	0.72488543	0.00979188	0.36602018	1.0	0.01350817	0.29756892	0.812985	0.01098194	
CIE RGB	F7 - CIE1964	XYZScaling	蓝色	0.15151281	0.00852514	0.83996205	17.77246157	1.0	98.5275997	0.19213808	0.010811	1.06518188	
CIE RGB	F7 - CIE1931	VonKries	红色	0.73029961	0.26970039	0.0	2.70781813	1.0	0.0	0.47145184	0.17410764	0.0	
CIE RGB	F7 - CIE1931	VonKries	绿色	0.24042005	0.74938766	0.01019229	0.32082199	1.0	0.01360083	0.26148094	0.81503433	0.01108514	
CIE RGB	F7 - CIE1931	VonKries	蓝色	0.16668573	0.0083312	0.82498307	20.00741138	1.0	99.02332636	0.21723974	0.01085796	1.07519164	
CIE RGB	F7 - CIE1964	VonKries	红色	0.73099264	0.26900736	0.0	2.71737043	1.0	0.0	0.47393394	0.17440903	0.0	
CIE RGB	F7 - CIE1964	VonKries	绿色	0.24542047	0.74454376	0.01003576	0.32962532	1.0	0.01347908	0.26855884	0.81473972	0.01098194	
CIE RGB	F7 - CIE1964	VonKries	蓝色	0.16673052	0.00840306	0.82486642	19.8416456	1.0	98.16263508	0.21530556	0.01085119	1.06518186	
