数据集,时间,确认,治愈,死亡,新增确诊,新增治愈,新增死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/平方公里（千分比）,治愈/平方公里（千分比）,死亡/平方公里（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-06-17 23:59:00,1580,1528,52,0,0,0,967.09,32.91,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,荆州,,,,,112.239741,30.335165
COVID-19_Baidu,2020-06-17 23:59:00,1437,1342,77,0,0,0,933.89,53.58,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,翁布里亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1411,1183,90,0,0,0,838.41,63.78,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,神奈川,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1394,1335,59,0,0,0,957.68,42.32,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,鄂州,,,,,114.894843,30.39194
COVID-19_Baidu,2020-06-17 23:59:00,1383,1313,54,0,0,0,949.39,39.05,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,庆尚北道,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1365,1200,132,0,0,0,879.12,96.7,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,撒丁,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1307,1262,45,0,0,0,965.57,34.43,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,随州,,,,,113.382458,31.690215
COVID-19_Baidu,2020-06-17 23:59:00,1276,1254,22,0,0,0,982.76,17.24,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,河南,,,,,,113.753602,34.765515
COVID-19_Baidu,2020-06-17 23:59:00,1269,1267,1,0,0,0,998.42,0.79,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,浙江,,,,,,120.152791,30.267446
COVID-19_Baidu,2020-06-17 23:59:00,1191,1037,144,0,0,0,870.7,120.91,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,瓦莱达奥斯塔,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1178,956,91,0,0,0,811.54,77.25,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,北海道,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1175,1135,40,0,0,0,965.96,34.04,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,襄阳,,,,,112.122414,32.008986
COVID-19_Baidu,2020-06-17 23:59:00,1162,1029,97,0,0,0,885.54,83.48,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,卡拉布里亚,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1145,710,5,0,0,0,620.09,4.37,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,首尔,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1112,1069,4,0,0,0,961.33,3.6,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,香港,,,,,,114.163825,22.276284
COVID-19_Baidu,2020-06-17 23:59:00,1063,720,22,0,0,0,677.33,20.7,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,京畿道,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1019,947,52,0,0,0,929.34,51.03,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,埼玉,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,1019,1015,4,0,0,0,996.07,3.93,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,湖南,,,,,,112.98381,28.112444
COVID-19_Baidu,2020-06-17 23:59:00,1015,976,39,0,0,0,961.58,38.42,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,黄石,,,,,115.03852,30.199652
