数据集,时间,确认,治愈,死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/面积（千分比）,治愈/面积（千分比）,死亡/面积（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-05-27 23:59:00,59151,19142,1225,323.61,20.71,0.32,0.01,0.1,73.58,23.81,1.52,输入的数据,国家,亚洲,巴基斯坦,,,,,,,69.345116,30.375321
COVID-19_Baidu,2020-05-27 23:59:00,57744,36405,1563,630.46,27.07,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,得克萨斯州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,57592,15465,9364,268.53,162.59,5.54,0.9,1.49,1887.64,506.88,306.92,输入的数据,国家,欧洲,比利时,,,,,,,4.469936,50.503887
COVID-19_Baidu,2020-05-27 23:59:00,55104,33168,5266,601.92,95.56,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,密歇根州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,52255,8514,2259,162.93,43.23,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,佛罗里达州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,50340,46466,3869,923.04,76.86,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,武汉,,,,,114.305392,30.593098
COVID-19_Baidu,2020-05-27 23:59:00,48947,13283,30,271.38,0.61,58.21,0.04,15.8,4279.71,1161.41,2.62,输入的数据,国家,亚洲,卡塔尔,,,,,,,51.183884,25.354826
COVID-19_Baidu,2020-05-27 23:59:00,47687,3283,2333,68.84,48.92,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,马里兰州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,45578,322,5856,7.06,128.48,2.74,0.35,0.02,1097.58,7.75,141.02,输入的数据,国家,欧洲,荷兰,,,,,,,5.291266,52.132633
COVID-19_Baidu,2020-05-27 23:59:00,43983,697,1895,15.85,43.08,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,佐治亚州,,,,,,
