数据集,时间,确认,治愈,死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/面积（千分比）,治愈/面积（千分比）,死亡/面积（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-05-27 23:59:00,3793,1856,505,489.32,133.14,0.38,0.05,0.19,40.77,19.95,5.43,输入的数据,国家,欧洲,匈牙利,,,,,,,19.503304,47.162494
COVID-19_Baidu,2020-05-27 23:59:00,3629,3436,64,946.82,17.64,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,联邦监狱,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,3518,3389,129,963.33,36.67,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,孝感,,,,,113.916902,30.924568
COVID-19_Baidu,2020-05-27 23:59:00,3430,1729,271,504.08,79.01,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,西西里,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,3333,2659,14,797.78,4.2,0.12,0.0,0.1,7.45,5.94,0.03,输入的数据,国家,亚洲,乌兹别克斯坦,,,,,,,64.585262,41.377491
COVID-19_Baidu,2020-05-27 23:59:00,3324,850,129,255.72,38.81,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,波多黎各,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,3275,1673,20,510.84,6.11,0.32,0.0,0.16,13.32,6.8,0.08,输入的数据,国家,非洲,几内亚,,,,,,,-9.696645,9.945587
COVID-19_Baidu,2020-05-27 23:59:00,3266,1417,47,433.86,14.39,0.44,0.01,0.19,22.82,9.9,0.33,输入的数据,国家,亚洲,塔吉克斯坦,,,,,,,71.276093,38.861034
COVID-19_Baidu,2020-05-27 23:59:00,3253,1586,38,487.55,11.68,0.26,0.0,0.13,16.58,8.08,0.19,输入的数据,国家,非洲,塞内加尔,,,,,,,-14.452362,14.497401
COVID-19_Baidu,2020-05-27 23:59:00,3251,2547,329,783.45,101.2,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,弗留利-威尼斯朱利亚,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,3230,1921,400,594.74,123.84,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,阿布鲁佐,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,3054,2931,57,959.72,18.66,0.05,0.0,0.04,5.94,5.7,0.11,输入的数据,国家,亚洲,泰国,,,,,,,100.992541,15.870032
COVID-19_Baidu,2020-05-27 23:59:00,2907,2782,125,957.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,黄冈,,,,,114.872316,30.453905
COVID-19_Baidu,2020-05-27 23:59:00,2892,1374,173,475.1,59.82,0.26,0.02,0.12,21.92,10.41,1.31,输入的数据,国家,欧洲,希腊,,,,,,,21.824312,39.074208
COVID-19_Baidu,2020-05-27 23:59:00,2699,2100,81,778.07,30.01,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,爱达荷州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,2593,2123,291,818.74,112.23,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,博尔扎诺,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,2546,365,68,143.36,26.71,0.04,0.0,0.01,1.09,0.16,0.03,输入的数据,国家,非洲,民主刚果,,,,,,,15.307045,-4.322447
COVID-19_Baidu,2020-05-27 23:59:00,2477,1286,30,519.18,12.11,0.12,0.0,0.06,7.68,3.99,0.09,输入的数据,国家,非洲,科特迪瓦,,,,,,,-5.54708,7.539989
COVID-19_Baidu,2020-05-27 23:59:00,2468,1079,14,437.2,5.67,3.33,0.02,1.46,107.3,46.91,0.61,输入的数据,国家,非洲,吉布提,,,,,,,42.590275,11.825138
COVID-19_Baidu,2020-05-27 23:59:00,2460,912,133,370.73,54.07,0.35,0.02,0.13,22.18,8.22,1.2,输入的数据,国家,欧洲,保加利亚,,,,,,,25.48583,42.733883
COVID-19_Baidu,2020-05-27 23:59:00,2457,1551,54,631.26,21.98,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,北达科他州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,2416,1721,149,712.33,61.67,0.53,0.03,0.37,47.25,33.66,2.91,输入的数据,国家,欧洲,波斯尼亚和黑塞哥维那,,,,,,,17.679076,43.915886
COVID-19_Baidu,2020-05-27 23:59:00,2244,2046,101,911.76,45.01,0.52,0.02,0.48,39.69,36.19,1.79,输入的数据,国家,欧洲,克罗地亚,,,,,,,15.2,45.1
COVID-19_Baidu,2020-05-27 23:59:00,2238,593,14,264.97,6.26,1.45,0.01,0.38,8.36,2.22,0.05,输入的数据,国家,非洲,加蓬,,,,,,,11.609444,-0.803689
COVID-19_Baidu,2020-05-27 23:59:00,2109,1318,79,624.94,37.46,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,缅因州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,2109,873,37,413.94,17.54,0.35,0.01,0.14,100.24,41.49,1.76,输入的数据,国家,北美洲,萨尔瓦多,,,,,,,-88.89653,13.794185
COVID-19_Baidu,2020-05-27 23:59:00,2014,1453,116,721.45,57.6,0.98,0.06,0.7,79.5,57.36,4.58,输入的数据,国家,欧洲,北马其顿,,,,,,,21.745275,41.608635
COVID-19_Baidu,2020-05-27 23:59:00,1963,1709,82,870.61,41.77,0.17,0.01,0.15,17.71,15.42,0.74,输入的数据,国家,北美洲,古巴,,,,,,,-77.781167,21.521757
COVID-19_Baidu,2020-05-27 23:59:00,1854,1180,74,636.46,39.91,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,西弗吉尼亚州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1840,1561,66,848.37,35.87,1.43,0.05,1.21,40.68,34.52,1.46,输入的数据,国家,欧洲,爱沙尼亚,,,,,,,25.013607,58.595272
COVID-19_Baidu,2020-05-27 23:59:00,1804,1792,10,993.35,5.54,5.84,0.03,5.8,17.51,17.4,0.1,输入的数据,国家,欧洲,冰岛,,,,,,,-19.020835,64.963051
COVID-19_Baidu,2020-05-27 23:59:00,1781,1480,78,830.99,43.8,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,大阪府,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1711,253,67,147.87,39.16,0.17,0.01,0.03,2.68,0.4,0.11,输入的数据,国家,非洲,索马里,,,,,,,46.199616,5.152149
COVID-19_Baidu,2020-05-27 23:59:00,1647,1184,66,718.88,40.07,0.56,0.02,0.4,25.26,18.16,1.01,输入的数据,国家,欧洲,立陶宛,,,,,,,23.881275,55.169438
COVID-19_Baidu,2020-05-27 23:59:00,1634,894,20,547.12,12.24,10.27,0.13,5.62,4368.98,2390.37,53.48,输入的数据,国家,非洲,马约特岛,,,,,,,45.16667,-12.933
COVID-19_Baidu,2020-05-27 23:59:00,1592,1581,8,993.09,5.03,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,广东,,,,,,113.26653,23.132191
COVID-19_Baidu,2020-05-27 23:59:00,1580,1528,52,967.09,32.91,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,荆州,,,,,112.239741,30.335165
COVID-19_Baidu,2020-05-27 23:59:00,1520,1043,16,686.18,10.53,0.26,0.0,0.18,7.66,5.25,0.08,输入的数据,国家,亚洲,吉尔吉斯斯坦,,,,,,,74.766098,41.20438
COVID-19_Baidu,2020-05-27 23:59:00,1515,1327,28,875.91,18.48,0.28,0.01,0.24,31.02,27.17,0.57,输入的数据,国家,欧洲,斯洛伐克,,,,,,,19.699024,48.669026
COVID-19_Baidu,2020-05-27 23:59:00,1504,1462,21,972.07,13.96,0.35,0.0,0.34,5.6,5.44,0.08,输入的数据,国家,大洋洲,新西兰,,,,,,,174.885971,-40.900557
COVID-19_Baidu,2020-05-27 23:59:00,1471,1354,108,920.46,73.42,0.73,0.05,0.67,72.56,66.79,5.33,输入的数据,国家,欧洲,斯洛文尼亚,,,,,,,14.995463,46.151241
COVID-19_Baidu,2020-05-27 23:59:00,1438,197,5,137.0,3.48,3.63,0.01,0.5,4793.33,656.67,16.67,输入的数据,国家,亚洲,马尔代夫,,,,,,,73.54,1.98
COVID-19_Baidu,2020-05-27 23:59:00,1431,1314,75,918.24,52.41,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,翁布里亚,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1394,1335,59,957.68,42.32,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,鄂州,,,,,114.894843,30.39194
COVID-19_Baidu,2020-05-27 23:59:00,1378,1287,54,933.96,39.19,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,庆尚北道,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1354,1000,130,738.55,96.01,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,撒丁,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1348,405,52,300.45,38.58,0.03,0.0,0.01,2.31,0.7,0.09,输入的数据,国家,非洲,肯尼亚,,,,,,,37.906193,-0.023559
COVID-19_Baidu,2020-05-27 23:59:00,1334,991,73,742.88,54.72,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,神奈川,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1319,732,10,554.97,7.58,0.06,0.0,0.03,20.1,11.16,0.15,输入的数据,国家,亚洲,斯里兰卡,,,,,,,80.771797,7.873054
COVID-19_Baidu,2020-05-27 23:59:00,1307,1262,45,965.57,34.43,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,随州,,,,,113.382458,31.690215
COVID-19_Baidu,2020-05-27 23:59:00,1276,1254,22,982.76,17.24,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,河南,,,,,,113.753602,34.765515
COVID-19_Baidu,2020-05-27 23:59:00,1268,1267,1,999.21,0.79,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,浙江,,,,,,120.152791,30.267446
COVID-19_Baidu,2020-05-27 23:59:00,1211,302,11,249.38,9.08,0.04,0.0,0.01,1.33,0.33,0.01,输入的数据,国家,南美洲,委内瑞拉,,,,,,,-66.58973,6.42375
COVID-19_Baidu,2020-05-27 23:59:00,1181,1007,143,852.67,121.08,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,瓦莱达奥斯塔,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1178,42,7,35.65,5.94,0.75,0.0,0.03,32.61,1.16,0.19,输入的数据,国家,非洲,几内亚比绍,,,,,,,-15.180413,11.803749
COVID-19_Baidu,2020-05-27 23:59:00,1175,1135,40,965.96,34.04,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,襄阳,,,,,112.122414,32.008986
COVID-19_Baidu,2020-05-27 23:59:00,1174,22,33,18.74,28.11,0.12,0.0,0.0,42.31,0.79,1.19,输入的数据,国家,北美洲,海地,,,,,,,-72.285215,18.971187
COVID-19_Baidu,2020-05-27 23:59:00,1157,823,96,711.32,82.97,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,卡拉布里亚,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1140,689,26,604.39,22.81,0.28,0.01,0.17,109.62,66.25,2.5,输入的数据,国家,亚洲,黎巴嫩,,,,,,,35.862285,33.854721
COVID-19_Baidu,2020-05-27 23:59:00,1077,617,70,572.89,65.0,0.08,0.01,0.04,0.87,0.5,0.06,输入的数据,国家,非洲,马里,,,,,,,-3.996166,17.570692
COVID-19_Baidu,2020-05-27 23:59:00,1066,734,81,688.56,75.98,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,北海道,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,1066,1034,4,969.98,3.75,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,香港,,,,,,114.163825,22.276284
COVID-19_Baidu,2020-05-27 23:59:00,1057,741,23,701.04,21.76,0.48,0.01,0.33,16.37,11.47,0.36,输入的数据,国家,欧洲,拉脱维亚,,,,,,,24.603189,56.879635
COVID-19_Baidu,2020-05-27 23:59:00,1051,929,48,883.92,45.67,0.1,0.0,0.09,6.42,5.68,0.29,输入的数据,国家,非洲,突尼斯,,,,,,,9.537499,33.886917
COVID-19_Baidu,2020-05-27 23:59:00,1050,812,33,773.33,31.43,0.35,0.01,0.27,36.52,28.25,1.15,输入的数据,国家,欧洲,阿尔巴尼亚,,,,,,,20.168331,41.153332
COVID-19_Baidu,2020-05-27 23:59:00,1043,165,12,158.2,11.51,1.03,0.01,0.16,37.18,5.88,0.43,输入的数据,国家,非洲,赤道几内亚,,,,,,,10.267895,1.650801
COVID-19_Baidu,2020-05-27 23:59:00,1019,1015,4,996.07,3.93,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,湖南,,,,,,112.98381,28.112444
COVID-19_Baidu,2020-05-27 23:59:00,1015,976,39,961.58,38.42,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,黄石,,,,,115.03852,30.199652
COVID-19_Baidu,2020-05-27 23:59:00,997,865,47,867.6,47.14,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,埼玉,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,991,985,6,993.95,6.05,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,安徽,,,,,,117.284922,31.861184
COVID-19_Baidu,2020-05-27 23:59:00,967,848,54,876.94,55.84,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,佛蒙特州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,956,634,10,663.18,10.46,0.21,0.0,0.14,18.71,12.41,0.2,输入的数据,国家,北美洲,哥斯达黎加,,,,,,,-83.753428,9.748917
COVID-19_Baidu,2020-05-27 23:59:00,952,796,63,836.13,66.18,0.06,0.0,0.05,0.75,0.63,0.05,输入的数据,国家,非洲,尼日尔,,,,,,,8.081666,17.607789
COVID-19_Baidu,2020-05-27 23:59:00,945,932,13,986.24,13.76,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,黑龙江,,,,,,126.661669,45.742347
COVID-19_Baidu,2020-05-27 23:59:00,939,594,17,632.59,18.1,0.85,0.02,0.54,101.51,64.22,1.84,输入的数据,国家,亚洲,塞浦路斯,,,,,,,33.429859,35.126413
COVID-19_Baidu,2020-05-27 23:59:00,937,936,1,998.93,1.07,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,江西,,,,,,115.909228,28.675696
COVID-19_Baidu,2020-05-27 23:59:00,931,894,37,960.26,39.74,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,宜昌,,,,,111.286471,30.691967
COVID-19_Baidu,2020-05-27 23:59:00,928,887,41,955.82,44.18,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,荆门,,,,,112.199265,31.035423
COVID-19_Baidu,2020-05-27 23:59:00,920,336,7,365.22,7.61,0.07,0.0,0.02,1.22,0.45,0.01,输入的数据,国家,非洲,赞比亚,,,,,,,27.849332,-13.133897
COVID-19_Baidu,2020-05-27 23:59:00,898,774,44,861.92,49.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,千叶,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,886,183,4,206.55,4.51,0.03,0.0,0.01,6.29,1.3,0.03,输入的数据,国家,亚洲,尼泊尔,,,,,,,84.124008,28.394857
COVID-19_Baidu,2020-05-27 23:59:00,877,382,11,435.58,12.54,0.14,0.0,0.06,2.16,0.94,0.03,输入的数据,国家,南美洲,巴拉圭,,,,,,,-58.443832,-23.442503
COVID-19_Baidu,2020-05-27 23:59:00,850,607,13,714.12,15.29,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,怀俄明州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,845,672,53,795.27,62.72,0.05,0.0,0.04,3.08,2.45,0.19,输入的数据,国家,非洲,布基纳法索,,,,,,,-1.561593,12.238333
COVID-19_Baidu,2020-05-27 23:59:00,836,821,15,982.06,17.94,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,咸宁,,,,,114.322492,29.841443
COVID-19_Baidu,2020-05-27 23:59:00,806,6,8,7.44,9.93,0.1,0.0,0.0,1.25,0.01,0.01,输入的数据,国家,非洲,南苏丹,,,,,,,31.306979,6.876992
COVID-19_Baidu,2020-05-27 23:59:00,802,618,4,770.57,4.99,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,首尔,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,789,638,22,808.62,27.88,0.23,0.01,0.18,4.48,3.62,0.12,输入的数据,国家,南美洲,乌拉圭,,,,,,,-55.765835,-32.522779
COVID-19_Baidu,2020-05-27 23:59:00,788,780,7,989.85,8.88,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,山东,,,,,,117.020359,36.66853
COVID-19_Baidu,2020-05-27 23:59:00,774,646,19,834.63,24.55,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,京畿道,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,763,676,51,885.98,66.84,9.08,0.61,8.05,1630.34,1444.44,108.97,输入的数据,国家,欧洲,安道尔,,,,,,,1.52,42.51
COVID-19_Baidu,2020-05-27 23:59:00,759,370,35,487.48,46.11,0.13,0.01,0.06,5.86,2.86,0.27,输入的数据,国家,北美洲,尼加拉瓜,,,,,,,-85.207229,12.865416
COVID-19_Baidu,2020-05-27 23:59:00,754,297,44,393.9,58.36,0.14,0.01,0.06,10.51,4.14,0.61,输入的数据,国家,非洲,塞拉利昂,,,,,,,-11.779889,8.460555
COVID-19_Baidu,2020-05-27 23:59:00,735,557,12,757.82,16.33,0.16,0.0,0.12,10.55,7.99,0.17,输入的数据,国家,亚洲,格鲁吉亚,,,,,,,43.356892,42.315407
COVID-19_Baidu,2020-05-27 23:59:00,731,181,6,247.61,8.21,0.01,0.0,0.0,0.65,0.16,0.01,输入的数据,国家,非洲,埃塞俄比亚,,,,,,,40.489673,9.145
COVID-19_Baidu,2020-05-27 23:59:00,718,586,9,816.16,12.53,0.11,0.0,0.09,7.78,6.35,0.1,输入的数据,国家,亚洲,约旦,,,,,,,36.238414,30.585164
COVID-19_Baidu,2020-05-27 23:59:00,712,651,13,914.33,18.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,国家,其它,钻石公主号邮轮,,,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,712,651,13,914.33,18.26,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,其它,,,,,,,,149.828482,23.206392
COVID-19_Baidu,2020-05-27 23:59:00,700,303,62,432.86,88.57,0.07,0.01,0.03,0.55,0.24,0.05,输入的数据,国家,非洲,乍得,,,,,,,18.732207,15.454166
COVID-19_Baidu,2020-05-27 23:59:00,699,613,40,876.97,57.22,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,兵库,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,674,596,25,884.27,37.09,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,福冈,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,672,664,8,988.1,11.9,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,十堰,,,,,110.79799,32.629397
COVID-19_Baidu,2020-05-27 23:59:00,671,22,1,32.79,1.49,0.14,0.0,0.0,1.08,0.04,0.0,输入的数据,国家,非洲,中非,,,,,,,20.939444,6.611111
COVID-19_Baidu,2020-05-27 23:59:00,670,655,7,977.61,10.45,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,上海,,,,,,121.473701,31.230416
COVID-19_Baidu,2020-05-27 23:59:00,666,275,42,412.91,63.06,21.16,1.33,8.74,10918.03,4508.2,688.52,输入的数据,国家,欧洲,圣马力诺,,,,,,,12.46,43.94
COVID-19_Baidu,2020-05-27 23:59:00,653,653,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,江苏,,,,,,118.763232,32.061707
COVID-19_Baidu,2020-05-27 23:59:00,643,593,17,922.24,26.44,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,夏威夷州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,612,491,7,802.29,11.44,1.52,0.02,1.22,1936.71,1553.8,22.15,输入的数据,国家,欧洲,马耳他,,,,,,,14.38,35.94
COVID-19_Baidu,2020-05-27 23:59:00,612,151,2,246.73,3.27,0.03,0.0,0.01,1.04,0.26,0.0,输入的数据,国家,非洲,马达加斯加,,,,,,,46.869107,-18.766947
COVID-19_Baidu,2020-05-27 23:59:00,593,581,9,979.76,15.18,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,北京,,,,,,116.407526,39.90403
COVID-19_Baidu,2020-05-27 23:59:00,579,573,6,989.64,10.36,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,重庆,,,,,,106.551556,29.563009
COVID-19_Baidu,2020-05-27 23:59:00,575,553,22,961.74,38.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,县,亚洲,中国,湖北,省直辖县级行政区划,仙桃市,,,,113.453974,30.364953
COVID-19_Baidu,2020-05-27 23:59:00,564,558,3,989.36,5.32,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,四川,,,,,,104.075931,30.651651
COVID-19_Baidu,2020-05-27 23:59:00,564,267,9,473.4,15.96,0.2,0.0,0.09,51.31,24.29,0.82,输入的数据,国家,北美洲,牙买加,,,,,,,-77.297508,18.109581
COVID-19_Baidu,2020-05-27 23:59:00,559,512,45,915.92,80.5,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,国家,,海峡群岛,,,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,522,397,0,760.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,检疫,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,510,442,34,866.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,爱知,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,509,183,21,359.53,41.26,0.01,0.0,0.0,0.54,0.19,0.02,输入的数据,国家,非洲,坦桑尼亚,,,,,,,34.888822,-6.369028
COVID-19_Baidu,2020-05-27 23:59:00,504,503,1,998.02,1.98,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,浙江,温州,,,,,120.699366,27.994267
COVID-19_Baidu,2020-05-27 23:59:00,496,481,15,969.76,30.24,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,县,亚洲,中国,湖北,省直辖县级行政区划,天门市,,,,113.165862,30.653061
COVID-19_Baidu,2020-05-27 23:59:00,487,147,16,301.85,32.85,0.16,0.01,0.05,1.42,0.43,0.05,输入的数据,国家,非洲,刚果,,,,,,,15.2832,-4.2634
COVID-19_Baidu,2020-05-27 23:59:00,479,441,17,920.67,35.49,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,蒙大拿州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,459,411,1,895.42,2.18,0.59,0.0,0.53,182.36,163.29,0.4,输入的数据,国家,非洲,留尼汪,,,,,,,55.54,-21.12
COVID-19_Baidu,2020-05-27 23:59:00,441,419,7,950.11,15.87,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,台湾,,,,,,121.508903,25.044319
COVID-19_Baidu,2020-05-27 23:59:00,441,68,12,154.2,27.21,2.23,0.06,0.34,440.56,67.93,11.99,输入的数据,国家,非洲,圣多美和普林西比,,,,,,,6.61,0.19
COVID-19_Baidu,2020-05-27 23:59:00,434,365,3,841.01,6.91,0.11,0.0,0.1,72.7,61.14,0.5,输入的数据,国家,亚洲,巴勒斯坦,,,,,,,35.233154,31.952162
COVID-19_Baidu,2020-05-27 23:59:00,432,236,22,546.3,50.93,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,莫利塞,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,423,420,3,992.91,7.09,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,广东,深圳,,,,,114.057868,22.543099
COVID-19_Baidu,2020-05-27 23:59:00,411,362,10,880.78,24.33,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,阿拉斯加州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,399,336,27,842.11,67.67,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,巴斯利卡塔,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,391,177,13,452.69,33.25,0.06,0.0,0.03,6.89,3.12,0.23,输入的数据,国家,非洲,多哥,,,,,,,0.824782,8.619543
COVID-19_Baidu,2020-05-27 23:59:00,390,155,4,397.44,10.26,0.77,0.01,0.3,96.7,38.43,0.99,输入的数据,国家,非洲,佛得角,,,,,,,-23.34,15.02
COVID-19_Baidu,2020-05-27 23:59:00,386,386,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,黑龙江,境外输入,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,384,146,1,380.21,2.6,1.96,0.01,0.75,4.22,1.6,0.01,输入的数据,国家,南美洲,法属圭亚那,,,,,,,-53.125782,3.933889
COVID-19_Baidu,2020-05-27 23:59:00,377,375,1,994.69,2.65,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,广东,广州,,,,,113.264434,23.129162
COVID-19_Baidu,2020-05-27 23:59:00,358,312,15,871.51,41.9,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,京都府,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,357,355,1,994.4,2.8,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,福建,,,,,,119.295144,26.100779
COVID-19_Baidu,2020-05-27 23:59:00,339,244,0,719.76,0.0,0.03,0.0,0.02,12.87,9.26,0.0,输入的数据,国家,非洲,卢旺达,,,,,,,29.873888,-1.940278
COVID-19_Baidu,2020-05-27 23:59:00,336,306,24,910.71,71.43,4.48,0.32,4.08,587.41,534.97,41.96,输入的数据,国家,欧洲,曼岛,,,,,,,-4.548056,54.236107
COVID-19_Baidu,2020-05-27 23:59:00,334,322,10,964.07,29.94,0.26,0.01,0.25,163.73,157.84,4.9,输入的数据,国家,非洲,毛里求斯,,,,,,,57.55,-20.35
COVID-19_Baidu,2020-05-27 23:59:00,329,322,0,978.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,上海,境外输入,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,328,322,6,981.71,18.29,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,河北,,,,,,114.468664,38.037057
COVID-19_Baidu,2020-05-27 23:59:00,327,278,0,850.15,0.0,0.0,0.0,0.0,0.99,0.84,0.0,输入的数据,国家,亚洲,越南,,,,,,,108.277199,14.058324
