Level,Longitude,Latitude,Chinese Name,English Name,Code 1,Code 2,Code 3,Code 4,Code 5,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,Square Kilometers,Population,Continent,Country,Province,City,County,Town,Village,Building,Comments
City,122.235417,40.667012,营口,,210800,0417,210800000000,,,营口市,,,,,,,Asia,People's Republic of China,Liaoning,营口,,,,,
City,121.670323,42.021619,阜新,,210900,0418,210900000000,,,阜新市,,,,,,,Asia,People's Republic of China,Liaoning,阜新,,,,,
City,123.236944,41.267244,辽阳,,211000,0419,211000000000,,,辽阳市,,,,,,,Asia,People's Republic of China,Liaoning,辽阳,,,,,
City,122.070714,41.119997,盘锦,,211100,0427,211100000000,,,盘锦市,,,,,,,Asia,People's Republic of China,Liaoning,盘锦,,,,,
City,123.726166,42.223769,铁岭,,211200,0410,211200000000,,,铁岭市,,,,,,,Asia,People's Republic of China,Liaoning,铁岭,,,,,
City,120.450372,41.573734,朝阳,,211300,0421,211300000000,,,朝阳市,,,,,,,Asia,People's Republic of China,Liaoning,朝阳,,,,,
City,120.836932,40.711052,葫芦岛,,211400,0429,211400000000,,,葫芦岛市,,,,,,,Asia,People's Republic of China,Liaoning,葫芦岛,,,,,
City,125.323544,43.817071,长春,,220100,0431,220100000000,,,长春市,,,,,,,Asia,People's Republic of China,Jilin,长春,,,,,
City,126.549576,43.837883,吉林,,220200,0432,220200000000,,,吉林市,,,,,,,Asia,People's Republic of China,Jilin,吉林,,,,,
City,124.350398,43.166419,四平,,220300,0434,220300000000,,,四平市,,,,,,,Asia,People's Republic of China,Jilin,四平,,,,,
City,125.143532,42.887918,辽源,,220400,0437,220400000000,,,辽源市,,,,,,,Asia,People's Republic of China,Jilin,辽源,,,,,
City,125.939697,41.728401,通化,,220500,0435,220500000000,,,通化市,,,,,,,Asia,People's Republic of China,Jilin,通化,,,,,
City,126.423587,41.939994,白山,,220600,0439,220600000000,,,白山市,,,,,,,Asia,People's Republic of China,Jilin,白山,,,,,
City,124.825117,45.141789,松原,,220700,0438,220700000000,,,松原市,,,,,,,Asia,People's Republic of China,Jilin,松原,,,,,
City,122.839024,45.619641,白城,,220800,0436,220800000000,,,白城市,,,,,,,Asia,People's Republic of China,Jilin,白城,,,,,
City,129.508946,42.891253,延边,,222400,1433,222400000000,,,延边朝鲜族自治州,,,,,,,Asia,People's Republic of China,Jilin,延边,,,,,
City,126.534967,45.803775,哈尔滨,,230100,0451,230100000000,,,哈尔滨市,,,,,,,Asia,People's Republic of China,Heilongjiang,哈尔滨,,,,,
City,123.918186,47.354348,齐齐哈尔,,230200,0452,230200000000,,,齐齐哈尔市,,,,,,,Asia,People's Republic of China,Heilongjiang,齐齐哈尔,,,,,
City,130.969333,45.295075,鸡西,,230300,0467,230300000000,,,鸡西市,,,,,,,Asia,People's Republic of China,Heilongjiang,鸡西,,,,,
City,130.297964,47.349916,鹤岗,,230400,0468,230400000000,,,鹤岗市,,,,,,,Asia,People's Republic of China,Heilongjiang,鹤岗,,,,,
City,131.159133,46.646508,双鸭山,,230500,0469,230500000000,,,双鸭山市,,,,,,,Asia,People's Republic of China,Heilongjiang,双鸭山,,,,,
City,125.103784,46.589309,大庆,,230600,0459,230600000000,,,大庆市,,,,,,,Asia,People's Republic of China,Heilongjiang,大庆,,,,,
City,128.841147,47.727536,伊春,,230700,0458,230700000000,,,伊春市,,,,,,,Asia,People's Republic of China,Heilongjiang,伊春,,,,,
City,130.318917,46.799922,佳木斯,,230800,0454,230800000000,,,佳木斯市,,,,,,,Asia,People's Republic of China,Heilongjiang,佳木斯,,,,,
City,131.003138,45.771726,七台河,,230900,0464,230900000000,,,七台河市,,,,,,,Asia,People's Republic of China,Heilongjiang,七台河,,,,,
City,129.633168,44.551653,牡丹江,,231000,0453,231000000000,,,牡丹江市,,,,,,,Asia,People's Republic of China,Heilongjiang,牡丹江,,,,,
City,127.52856,50.245329,黑河,,231100,0456,231100000000,,,黑河市,,,,,,,Asia,People's Republic of China,Heilongjiang,黑河,,,,,
City,126.968887,46.653845,绥化,,231200,0455,231200000000,,,绥化市,,,,,,,Asia,People's Republic of China,Heilongjiang,绥化,,,,,
City,124.71108,52.335206,大兴安岭,,232700,0457,232700000000,,,大兴安岭地区,,,,,,,Asia,People's Republic of China,Heilongjiang,大兴安岭,,,,,
City,121.473701,31.230416,市辖区,,310000,021,310100000000,,,,,,,,,,Asia,People's Republic of China,Shanghai,市辖区,,,,,
City,118.796877,32.060255,南京,,320100,025,320100000000,,,南京市,,,,,,,Asia,People's Republic of China,Jiangsu,南京,,,,,
City,120.31191,31.491169,无锡,,320200,0510,320200000000,,,无锡市,,,,,,,Asia,People's Republic of China,Jiangsu,无锡,,,,,
City,117.284124,34.205768,徐州,,320300,0516,320300000000,,,徐州市,,,,,,,Asia,People's Republic of China,Jiangsu,徐州,,,,,
City,119.973987,31.810689,常州,,320400,0519,320400000000,,,常州市,,,,,,,Asia,People's Republic of China,Jiangsu,常州,,,,,
City,120.585315,31.298886,苏州,,320500,0512,320500000000,,,苏州市,,,,,,,Asia,People's Republic of China,Jiangsu,苏州,,,,,
City,120.894291,31.980171,南通,,320600,0513,320600000000,,,南通市,,,,,,,Asia,People's Republic of China,Jiangsu,南通,,,,,
City,119.221611,34.596653,连云港,,320700,0518,320700000000,,,连云港市,,,,,,,Asia,People's Republic of China,Jiangsu,连云港,,,,,
City,119.015285,33.610353,淮安,,320800,0517,320800000000,,,淮安市,,,,,,,Asia,People's Republic of China,Jiangsu,淮安,,,,,
City,120.163561,33.347382,盐城,,320900,0515,320900000000,,,盐城市,,,,,,,Asia,People's Republic of China,Jiangsu,盐城,,,,,
City,119.412966,32.39421,扬州,,321000,0514,321000000000,,,扬州市,,,,,,,Asia,People's Republic of China,Jiangsu,扬州,,,,,
City,119.425836,32.187849,镇江,,321100,0511,321100000000,,,镇江市,,,,,,,Asia,People's Republic of China,Jiangsu,镇江,,,,,
City,119.923116,32.455778,泰州,,321200,0523,321200000000,,,泰州市,,,,,,,Asia,People's Republic of China,Jiangsu,泰州,,,,,
City,118.275198,33.963232,宿迁,,321300,0527,321300000000,,,宿迁市,,,,,,,Asia,People's Republic of China,Jiangsu,宿迁,,,,,
City,120.15507,30.274084,杭州,,330100,0571,330100000000,,,杭州市,,,,,,,Asia,People's Republic of China,Zhejiang,杭州,,,,,
City,121.550357,29.874556,宁波,,330200,0574,330200000000,,,宁波市,,,,,,,Asia,People's Republic of China,Zhejiang,宁波,,,,,
City,120.699366,27.994267,温州,,330300,0577,330300000000,,,温州市,,,,,,,Asia,People's Republic of China,Zhejiang,温州,,,,,
City,120.755486,30.746129,嘉兴,,330400,0573,330400000000,,,嘉兴市,,,,,,,Asia,People's Republic of China,Zhejiang,嘉兴,,,,,
City,120.086823,30.894348,湖州,,330500,0572,330500000000,,,湖州市,,,,,,,Asia,People's Republic of China,Zhejiang,湖州,,,,,
City,120.580232,30.029752,绍兴,,330600,0575,330600000000,,,绍兴市,,,,,,,Asia,People's Republic of China,Zhejiang,绍兴,,,,,
City,119.647444,29.079059,金华,,330700,0579,330700000000,,,金华市,,,,,,,Asia,People's Republic of China,Zhejiang,金华,,,,,
